#liczba obsluzonych zgloszen przez kanal 1
#czas	#liczbaZgloszen obsluzonych
1134.0	574
1135.0	574
1136.0	575
1137.0	576
1138.0	576
1139.0	577
1140.0	577
1141.0	578
1142.0	578
1143.0	579
1144.0	579
1145.0	580
1146.0	580
1147.0	581
1148.0	581
1149.0	582
1150.0	582
1151.0	583
1152.0	583
1153.0	584
1154.0	584
1155.0	585
1156.0	585
1157.0	586
1158.0	586
1159.0	587
1160.0	587
1161.0	588
1162.0	588
1163.0	588
1164.0	589
1165.0	590
1166.0	590
1167.0	591
1168.0	591
1169.0	592
1170.0	592
1171.0	593
1172.0	593
1173.0	594
1174.0	594
1175.0	595
1176.0	595
1177.0	596
1178.0	596
1179.0	597
1180.0	597
1181.0	598
1182.0	598
1183.0	599
1184.0	599
1185.0	600
1186.0	600
1187.0	601
1188.0	601
1189.0	602
1190.0	602
1191.0	603
1192.0	603
1193.0	604
1194.0	604
1195.0	605
1196.0	605
1197.0	606
1198.0	606
1199.0	607
1200.0	607
1201.0	608
1202.0	608
1203.0	609
1204.0	609
1205.0	609
1206.0	610
1207.0	611
1208.0	611
1209.0	612
1210.0	612
1211.0	613
1212.0	613
1213.0	614
1214.0	614
1215.0	615
1216.0	615
1217.0	616
1218.0	616
1219.0	617
1220.0	617
1221.0	618
1222.0	618
1223.0	619
1224.0	619
1225.0	620
1226.0	620
1227.0	621
1228.0	621
1229.0	622
1230.0	622
1231.0	623
1232.0	623
1233.0	624
1234.0	624
1235.0	625
1236.0	626
1237.0	626
1238.0	627
1239.0	627
1240.0	628
1241.0	628
1242.0	629
1243.0	629
1244.0	630
1245.0	630
1246.0	631
1247.0	631
1248.0	632
1249.0	632
1250.0	633
1251.0	633
1252.0	634
1253.0	634
1254.0	635
1255.0	635
1256.0	636
1257.0	636
1258.0	637
1259.0	637
1260.0	638
1261.0	638
1262.0	639
1263.0	639
1264.0	640
1265.0	640
1266.0	641
1267.0	641
1268.0	642
1269.0	642
1270.0	643
1271.0	643
1272.0	644
1273.0	644
1274.0	645
1275.0	645
1276.0	646
1277.0	646
1278.0	647
1279.0	647
1280.0	648
1281.0	648
1282.0	649
1283.0	649
1284.0	650
1285.0	650
1286.0	651
1287.0	652
1288.0	652
1289.0	653
1290.0	653
1291.0	654
1292.0	654
1293.0	655
1294.0	655
1295.0	656
1296.0	656
1297.0	657
1298.0	657
1299.0	658
1300.0	658
1301.0	659
1302.0	659
1303.0	660
1304.0	660
1305.0	661
1306.0	661
1307.0	662
1308.0	662
1309.0	663
1310.0	663
1311.0	664
1312.0	664
1313.0	665
1314.0	665
1315.0	666
1316.0	666
1317.0	667
1318.0	667
1319.0	668
1320.0	668
1321.0	668
1322.0	669
1323.0	670
1324.0	670
1325.0	671
1326.0	671
1327.0	672
1328.0	672
1329.0	673
1330.0	673
1331.0	674
1332.0	674
1333.0	675
1334.0	675
1335.0	676
1336.0	676
1337.0	677
1338.0	677
1339.0	678
1340.0	678
1341.0	679
1342.0	679
1343.0	680
1344.0	680
1345.0	681
1346.0	681
1347.0	682
1348.0	682
1349.0	683
1350.0	683
1351.0	684
1352.0	684
1353.0	685
1354.0	685
1355.0	686
1356.0	686
1357.0	687
1358.0	687
1359.0	688
1360.0	688
1361.0	689
1362.0	689
1363.0	690
1364.0	690
1365.0	691
1366.0	691
1367.0	692
1368.0	692
1369.0	693
1370.0	693
1371.0	694
1372.0	694
1373.0	695
1374.0	695
1375.0	696
1376.0	696
1377.0	697
1378.0	697
1379.0	698
1380.0	698
1381.0	699
1382.0	699
1383.0	700
1384.0	700
1385.0	701
1386.0	701
1387.0	702
1388.0	702
1389.0	703
1390.0	703
1391.0	704
1392.0	704
1393.0	705
1394.0	705
1395.0	706
1396.0	706
1397.0	707
1398.0	707
1399.0	708
1400.0	708
1401.0	709
1402.0	710
1403.0	710
1404.0	711
1405.0	711
1406.0	712
1407.0	712
1408.0	713
1409.0	713
1410.0	714
1411.0	714
1412.0	715
1413.0	715
1414.0	716
1415.0	716
1416.0	717
1417.0	717
1418.0	718
1419.0	718
1420.0	719
1421.0	719
1422.0	720
1423.0	720
1424.0	721
1425.0	721
1426.0	722
1427.0	722
1428.0	723
1429.0	723
1430.0	724
1431.0	724
1432.0	725
1433.0	725
1434.0	726
1435.0	726
1436.0	727
1437.0	727
1438.0	728
1439.0	728
1440.0	729
1441.0	729
1442.0	730
1443.0	730
1444.0	731
1445.0	731
1446.0	732
1447.0	732
1448.0	733
1449.0	733
1450.0	734
1451.0	734
1452.0	735
1453.0	735
1454.0	736
1455.0	736
1456.0	737
1457.0	737
1458.0	738
1459.0	738
1460.0	739
1461.0	739
1462.0	740
1463.0	740
1464.0	741
1465.0	741
1466.0	742
1467.0	742
1468.0	743
1469.0	743
1470.0	744
1471.0	744
1472.0	745
1473.0	745
1474.0	746
1475.0	746
1476.0	747
1477.0	747
1478.0	748
1479.0	748
1480.0	749
1481.0	749
1482.0	750
1483.0	750
1484.0	751
1485.0	751
1486.0	752
1487.0	752
1488.0	753
1489.0	753
1490.0	754
1491.0	754
1492.0	755
1493.0	755
1494.0	756
1495.0	756
1496.0	757
1497.0	757
1498.0	758
1499.0	758
1500.0	759
1501.0	759
1502.0	760
1503.0	760
1504.0	761
1505.0	761
1506.0	762
1507.0	762
1508.0	763
1509.0	763
1510.0	764
1511.0	764
1512.0	765
1513.0	765
1514.0	766
1515.0	766
1516.0	767
1517.0	767
1518.0	768
1519.0	768
1520.0	769
1521.0	769
1522.0	770
1523.0	770
1524.0	771
1525.0	771
1526.0	772
1527.0	772
1528.0	773
1529.0	773
1530.0	774
1531.0	774
1532.0	775
1533.0	775
1534.0	776
1535.0	776
1536.0	777
1537.0	777
1538.0	778
1539.0	778
1540.0	779
1541.0	779
1542.0	780
1543.0	780
1544.0	781
1545.0	781
1546.0	782
1547.0	782
1548.0	783
1549.0	783
1550.0	784
1551.0	784
1552.0	785
1553.0	785
1554.0	786
1555.0	786
1556.0	787
1557.0	787
1558.0	788
1559.0	788
1560.0	789
1561.0	789
1562.0	790
1563.0	790
1564.0	791
1565.0	791
1566.0	791
1567.0	792
1568.0	793
1569.0	793
1570.0	794
1571.0	794
1572.0	795
1573.0	795
1574.0	796
1575.0	796
1576.0	797
1577.0	797
1578.0	798
1579.0	798
1580.0	799
1581.0	799
1582.0	800
1583.0	800
1584.0	801
1585.0	801
1586.0	802
1587.0	802
1588.0	803
1589.0	803
1590.0	804
1591.0	804
1592.0	805
1593.0	805
1594.0	806
1595.0	806
1596.0	807
1597.0	807
1598.0	808
1599.0	808
1600.0	809
1601.0	809
1602.0	810
1603.0	810
1604.0	811
1605.0	811
1606.0	812
1607.0	812
1608.0	813
1609.0	813
1610.0	814
1611.0	814
1612.0	814
1613.0	815
1614.0	816
1615.0	816
1616.0	817
1617.0	817
1618.0	818
1619.0	818
1620.0	819
1621.0	819
1622.0	820
1623.0	820
1624.0	821
1625.0	821
1626.0	822
1627.0	822
1628.0	823
1629.0	823
1630.0	824
1631.0	824
1632.0	825
1633.0	825
1634.0	826
1635.0	826
1636.0	827
1637.0	827
1638.0	828
1639.0	828
1640.0	829
1641.0	829
1642.0	830
1643.0	830
1644.0	831
1645.0	831
1646.0	832
1647.0	832
1648.0	833
1649.0	833
1650.0	834
1651.0	834
1652.0	835
1653.0	835
1654.0	836
1655.0	836
1656.0	836
1657.0	837
1658.0	838
1659.0	838
1660.0	839
1661.0	839
1662.0	840
1663.0	840
1664.0	841
1665.0	841
1666.0	842
1667.0	842
1668.0	843
1669.0	843
1670.0	844
1671.0	844
1672.0	845
1673.0	845
1674.0	846
1675.0	846
1676.0	847
1677.0	847
1678.0	848
1679.0	848
1680.0	849
1681.0	849
1682.0	850
1683.0	850
1684.0	851
1685.0	851
1686.0	852
1687.0	852
1688.0	853
1689.0	853
1690.0	854
1691.0	854
1692.0	855
1693.0	855
1694.0	856
1695.0	856
1696.0	857
1697.0	857
1698.0	858
1699.0	858
1700.0	859
1701.0	859
1702.0	860
1703.0	860
1704.0	861
1705.0	861
1706.0	862
1707.0	862
1708.0	863
1709.0	863
1710.0	863
1711.0	864
1712.0	865
1713.0	865
1714.0	866
1715.0	866
1716.0	867
1717.0	867
1718.0	868
1719.0	868
1720.0	869
1721.0	869
1722.0	870
1723.0	870
1724.0	871
1725.0	871
1726.0	872
1727.0	872
1728.0	873
1729.0	873
1730.0	873
1731.0	874
1732.0	875
1733.0	875
1734.0	876
1735.0	876
1736.0	877
1737.0	878
1738.0	878
1739.0	879
1740.0	879
1741.0	880
1742.0	880
1743.0	881
1744.0	881
1745.0	882
1746.0	882
1747.0	883
1748.0	883
1749.0	884
1750.0	884
1751.0	885
1752.0	885
1753.0	886
1754.0	886
1755.0	887
1756.0	887
1757.0	887
1758.0	888
1759.0	889
1760.0	889
1761.0	890
1762.0	890
1763.0	891
1764.0	891
1765.0	892
1766.0	892
1767.0	893
1768.0	893
1769.0	894
1770.0	894
1771.0	895
1772.0	895
1773.0	896
1774.0	896
1775.0	897
1776.0	897
1777.0	898
1778.0	898
1779.0	899
1780.0	899
1781.0	900
1782.0	900
1783.0	901
1784.0	901
1785.0	902
1786.0	902
1787.0	903
1788.0	903
1789.0	904
1790.0	904
1791.0	905
1792.0	905
1793.0	906
1794.0	906
1795.0	907
1796.0	907
1797.0	908
1798.0	908
1799.0	909
1800.0	909
1801.0	910
1802.0	910
1803.0	911
1804.0	911
1805.0	912
1806.0	912
1807.0	913
1808.0	913
1809.0	914
1810.0	914
1811.0	915
1812.0	915
1813.0	916
1814.0	916
1815.0	917
1816.0	917
1817.0	918
1818.0	918
1819.0	919
1820.0	919
1821.0	920
1822.0	920
1823.0	921
1824.0	921
1825.0	922
1826.0	922
1827.0	923
1828.0	923
1829.0	924
1830.0	924
1831.0	925
1832.0	925
1833.0	926
1834.0	926
1835.0	927
1836.0	927
1837.0	928
1838.0	928
1839.0	929
1840.0	929
1841.0	930
1842.0	930
1843.0	931
1844.0	931
1845.0	932
1846.0	932
1847.0	933
1848.0	933
1849.0	934
1850.0	934
1851.0	935
1852.0	935
1853.0	936
1854.0	936
1855.0	937
1856.0	937
1857.0	938
1858.0	938
1859.0	939
1860.0	939
1861.0	940
1862.0	940
1863.0	941
1864.0	941
1865.0	942
1866.0	942
1867.0	943
1868.0	943
1869.0	944
1870.0	944
1871.0	945
1872.0	945
1873.0	946
1874.0	946
1875.0	947
1876.0	947
1877.0	948
1878.0	948
1879.0	949
1880.0	949
1881.0	950
1882.0	950
1883.0	951
1884.0	951
1885.0	952
1886.0	952
1887.0	953
1888.0	953
1889.0	954
1890.0	954
1891.0	955
1892.0	955
1893.0	956
1894.0	956
1895.0	957
1896.0	957
1897.0	958
1898.0	958
1899.0	959
1900.0	959
1901.0	960
1902.0	960
1903.0	961
1904.0	961
1905.0	962
1906.0	962
1907.0	963
1908.0	963
1909.0	964
1910.0	964
1911.0	965
1912.0	965
1913.0	966
1914.0	966
1915.0	967
1916.0	967
1917.0	968
1918.0	968
1919.0	969
1920.0	969
1921.0	970
1922.0	970
1923.0	971
1924.0	971
1925.0	972
1926.0	972
1927.0	973
1928.0	973
1929.0	974
1930.0	974
1931.0	975
1932.0	975
1933.0	976
1934.0	976
1935.0	977
1936.0	977
1937.0	978
1938.0	978
1939.0	979
1940.0	979
1941.0	980
1942.0	980
1943.0	981
1944.0	981
1945.0	982
1946.0	982
1947.0	982
1948.0	983
1949.0	984
1950.0	984
1951.0	985
1952.0	985
1953.0	986
1954.0	986
1955.0	987
1956.0	987
1957.0	988
1958.0	988
1959.0	989
1960.0	989
1961.0	990
1962.0	990
1963.0	991
1964.0	991
1965.0	992
1966.0	992
1967.0	993
1968.0	993
1969.0	994
1970.0	994
1971.0	995
1972.0	995
1973.0	996
1974.0	996
1975.0	997
1976.0	997
1977.0	998
1978.0	998
1979.0	999
1980.0	999
1981.0	1000
1982.0	1000
1983.0	1001
1984.0	1001
1985.0	1002
1986.0	1002
1987.0	1003
1988.0	1003
1989.0	1004
1990.0	1004
1991.0	1005
1992.0	1005
1993.0	1005
1994.0	1005
1995.0	1006
1996.0	1007
1997.0	1007
1998.0	1008
1999.0	1008
2000.0	1009
2001.0	1009
2002.0	1010
2003.0	1010
2004.0	1011
2005.0	1011
2006.0	1012
2007.0	1012
2008.0	1013
2009.0	1013
2010.0	1014
2011.0	1014
2012.0	1015
2013.0	1015
2014.0	1016
2015.0	1016
2016.0	1017
2017.0	1017
2018.0	1018
2019.0	1018
2020.0	1019
2021.0	1019
2022.0	1020
2023.0	1020
2024.0	1021
2025.0	1021
2026.0	1022
2027.0	1022
2028.0	1023
2029.0	1023
2030.0	1024
2031.0	1024
2032.0	1025
2033.0	1025
2034.0	1026
2035.0	1026
2036.0	1027
2037.0	1027
2038.0	1028
2039.0	1028
2040.0	1029
2041.0	1029
2042.0	1030
2043.0	1030
2044.0	1031
2045.0	1031
2046.0	1032
2047.0	1032
2048.0	1033
2049.0	1033
2050.0	1034
2051.0	1034
2052.0	1035
2053.0	1035
2054.0	1036
2055.0	1036
2056.0	1037
2057.0	1037
2058.0	1038
2059.0	1038
2060.0	1039
2061.0	1039
2062.0	1040
2063.0	1040
2064.0	1041
2065.0	1041
2066.0	1042
2067.0	1042
2068.0	1043
2069.0	1043
2070.0	1044
2071.0	1044
2072.0	1044
2073.0	1045
2074.0	1046
2075.0	1046
2076.0	1047
2077.0	1047
2078.0	1048
2079.0	1048
2080.0	1049
2081.0	1049
2082.0	1050
2083.0	1050
2084.0	1051
2085.0	1051
2086.0	1052
2087.0	1052
2088.0	1053
2089.0	1053
2090.0	1054
2091.0	1054
2092.0	1055
2093.0	1055
2094.0	1056
2095.0	1056
2096.0	1057
2097.0	1057
2098.0	1058
2099.0	1058
2100.0	1059
2101.0	1059
2102.0	1060
2103.0	1060
2104.0	1061
2105.0	1061
